TABLE_NAME,UID_COLUMNS
RDB_UI_METADATA_REPT,NBS_QUESTION_UID
REF_FORMCODE_TRANSLATION,NBS_QUESTION_UID
RESULT_COMMENT_GROUP,LAB_TEST_UID
TB_PAM_LDF,TB_PAM_UID
TEST_RESULT_GROUPING,LAB_TEST_UID
TREATMENT,TREATMENT_UID
UPDATED_LAB_TEST_LIST,LAB_TEST_UID
UPDATED_OBSERVATION_LIST,OBSERVATION_UID
USER_PROFILE,PROVIDER_UID
VAR_PAM_LDF,VAR_PAM_UID
phc_uids_REPT,PAGE_CASE_UID
rdb_ui_metadata_rept_temp,NBS_QUESTION_UID
